Case 1: Learning rate = 0.001
Sess 4/10000 1024 iters: loss 0.037993
Sess 5/10000 1024 iters: loss 0.034281
Sess 6/10000 1024 iters: loss 0.051759
Sess 7/10000 1024 iters: loss 0.036908
Sess 8/10000 1024 iters: loss 0.025365
Sess 9/10000 1024 iters: loss 0.037367
Sess 10/10000 1024 iters: loss 0.042515
Sess 11/10000 1024 iters: loss 0.028961
Sess 12/10000 1024 iters: loss 0.031639
Sess 13/10000 1024 iters: loss 0.039692
Sess 14/10000 1024 iters: loss 0.033305
Sess 15/10000 1024 iters: loss 0.035480
Sess 16/10000 1024 iters: loss 0.040290
Sess 17/10000 1024 iters: loss 0.030122
Sess 18/10000 1024 iters: loss 0.028644
Sess 19/10000 1024 iters: loss 0.034368
Sess 20/10000 1024 iters: loss 0.035131
Sess 21/10000 1024 iters: loss 0.030377
Sess 22/10000 1024 iters: loss 0.034089
Sess 23/10000 1024 iters: loss 0.038513
Sess 24/10000 1024 iters: loss 0.038429
Sess 25/10000 1024 iters: loss 0.026025
Sess 26/10000 1024 iters: loss 0.040338
Sess 27/10000 1024 iters: loss 0.036090
Sess 28/10000 1024 iters: loss 0.040194
Sess 29/10000 1024 iters: loss 0.030987
Sess 30/10000 1024 iters: loss 0.028820
Sess 31/10000 1024 iters: loss 0.040881
Sess 32/10000 1024 iters: loss 0.036371
Sess 33/10000 1024 iters: loss 0.046840
Sess 34/10000 1024 iters: loss 0.028513
Sess 35/10000 1024 iters: loss 0.035100
Sess 36/10000 1024 iters: loss 0.220211
Sess 37/10000 1024 iters: loss 0.035477
Sess 38/10000 1024 iters: loss 0.039592
Sess 39/10000 1024 iters: loss 0.043008
Sess 40/10000 1024 iters: loss 0.036742
Sess 41/10000 1024 iters: loss 0.035601
Sess 42/10000 1024 iters: loss 0.042895
Sess 43/10000 1024 iters: loss 0.041204
Sess 44/10000 1024 iters: loss 0.038260
Sess 45/10000 1024 iters: loss 0.042121
Sess 46/10000 1024 iters: loss 0.029491
Sess 47/10000 1024 iters: loss 0.032860
Sess 48/10000 1024 iters: loss 0.032826
Sess 49/10000 1024 iters: loss 0.036626
Sess 50/10000 1024 iters: loss 0.035999
Sess 51/10000 1024 iters: loss 0.036035
Sess 52/10000 1024 iters: loss 0.031907
Sess 53/10000 1024 iters: loss 0.029674
Sess 54/10000 1024 iters: loss 0.042908
Sess 55/10000 1024 iters: loss 0.032252
Sess 56/10000 1024 iters: loss 0.033745
Sess 57/10000 1024 iters: loss 0.033370
Sess 58/10000 1024 iters: loss 0.040624
Sess 59/10000 1024 iters: loss 0.037738
Sess 60/10000 1024 iters: loss 0.027264
Sess 61/10000 1024 iters: loss 0.036781
Sess 62/10000 1024 iters: loss 0.040219
Sess 63/10000 1024 iters: loss 0.037698
Sess 64/10000 1024 iters: loss 0.030367
Sess 65/10000 1024 iters: loss 0.032692
Sess 66/10000 1024 iters: loss 0.041245
Sess 67/10000 1024 iters: loss 0.035066
Sess 68/10000 1024 iters: loss 0.038708
Sess 69/10000 1024 iters: loss 0.037622
Sess 70/10000 1024 iters: loss 0.036847
Sess 71/10000 1024 iters: loss 0.031170
Sess 72/10000 1024 iters: loss 0.040094
Sess 73/10000 1024 iters: loss 0.035289
Sess 74/10000 1024 iters: loss 0.034118
Sess 75/10000 1024 iters: loss 0.034306
Sess 76/10000 1024 iters: loss 0.034426
Sess 77/10000 1024 iters: loss 0.035777
Sess 78/10000 1024 iters: loss 0.036966
Sess 79/10000 1024 iters: loss 0.033610
Sess 80/10000 1024 iters: loss 0.034117
Sess 81/10000 1024 iters: loss 0.035011
Sess 82/10000 1024 iters: loss 0.034968
Sess 83/10000 1024 iters: loss 0.034557
Sess 84/10000 1024 iters: loss 0.025555
Sess 85/10000 1024 iters: loss 0.032050
Sess 86/10000 1024 iters: loss 0.039100
Sess 87/10000 1024 iters: loss 0.029279
Sess 88/10000 1024 iters: loss 0.036407
Sess 89/10000 1024 iters: loss 0.032730
Sess 90/10000 1024 iters: loss 0.036313
Sess 91/10000 1024 iters: loss 0.038970
Sess 92/10000 1024 iters: loss 0.026072
Sess 93/10000 1024 iters: loss 0.035103
Sess 94/10000 1024 iters: loss 0.038353
Sess 95/10000 1024 iters: loss 0.035900
Sess 96/10000 1024 iters: loss 0.034768
Sess 97/10000 1024 iters: loss 0.031811
Sess 98/10000 1024 iters: loss 0.035997
Sess 99/10000 1024 iters: loss 0.031092
Sess 100/10000 1024 iters: loss 0.036081

Case 4: Learning Rate = 0.05

Sess 1/10000 1024 iters: loss 0.046031
Sess 2/10000 1024 iters: loss 0.056334
Sess 3/10000 1024 iters: loss 0.043100
Sess 4/10000 1024 iters: loss 0.045721
Sess 5/10000 1024 iters: loss 0.035868
Sess 6/10000 1024 iters: loss 0.047489
Sess 7/10000 1024 iters: loss 0.051168
Sess 8/10000 1024 iters: loss 0.044634
Sess 9/10000 1024 iters: loss 0.052275
Sess 10/10000 1024 iters: loss 0.062708
Sess 11/10000 1024 iters: loss 0.057731
Sess 12/10000 1024 iters: loss 0.054980
Sess 13/10000 1024 iters: loss 0.048588
Sess 14/10000 1024 iters: loss 0.067063
Sess 15/10000 1024 iters: loss 0.048986
Sess 16/10000 1024 iters: loss 0.049447
Sess 17/10000 1024 iters: loss 0.044048
Sess 18/10000 1024 iters: loss 0.049643
Sess 19/10000 1024 iters: loss 0.047650
Sess 20/10000 1024 iters: loss 0.048115
Sess 21/10000 1024 iters: loss 0.041875
Sess 22/10000 1024 iters: loss 0.048979
Sess 23/10000 1024 iters: loss 0.052760
Sess 24/10000 1024 iters: loss 0.048582
Sess 25/10000 1024 iters: loss 0.042626
Sess 26/10000 1024 iters: loss 0.054618
Sess 27/10000 1024 iters: loss 0.059414
Sess 28/10000 1024 iters: loss 0.051484
Sess 29/10000 1024 iters: loss 0.055380
Sess 30/10000 1024 iters: loss 0.049659
Sess 31/10000 1024 iters: loss 0.053694
Sess 32/10000 1024 iters: loss 0.051947
Sess 33/10000 1024 iters: loss 0.039799
Sess 34/10000 1024 iters: loss 0.040219
Sess 35/10000 1024 iters: loss 0.045489
Sess 36/10000 1024 iters: loss 0.051374
Sess 37/10000 1024 iters: loss 0.057950
Sess 38/10000 1024 iters: loss 0.047388
Sess 39/10000 1024 iters: loss 0.060894
Sess 40/10000 1024 iters: loss 0.045748
Sess 41/10000 1024 iters: loss 0.056222
Sess 42/10000 1024 iters: loss 0.051355
Sess 43/10000 1024 iters: loss 0.058518
Sess 44/10000 1024 iters: loss 0.044941
Sess 45/10000 1024 iters: loss 0.051289
Sess 46/10000 1024 iters: loss 0.050303
Sess 47/10000 1024 iters: loss 0.047935
Sess 48/10000 1024 iters: loss 0.044571
Sess 49/10000 1024 iters: loss 0.046319
Sess 50/10000 1024 iters: loss 0.044843
Sess 51/10000 1024 iters: loss 0.035873
Sess 52/10000 1024 iters: loss 0.052199
Sess 53/10000 1024 iters: loss 0.044626
Sess 54/10000 1024 iters: loss 0.044145
Sess 55/10000 1024 iters: loss 0.042340
Sess 56/10000 1024 iters: loss 0.048145
Sess 57/10000 1024 iters: loss 0.045886
Sess 58/10000 1024 iters: loss 0.056094
Sess 59/10000 1024 iters: loss 0.056918
Sess 60/10000 1024 iters: loss 0.043464
Sess 61/10000 1024 iters: loss 0.039066
Sess 62/10000 1024 iters: loss 0.036527
Sess 63/10000 1024 iters: loss 0.051079
Sess 64/10000 1024 iters: loss 0.053752
Sess 65/10000 1024 iters: loss 0.052180
Sess 66/10000 1024 iters: loss 0.065106
Sess 67/10000 1024 iters: loss 0.054877
Sess 68/10000 1024 iters: loss 0.056596
Sess 69/10000 1024 iters: loss 0.054662
Sess 70/10000 1024 iters: loss 0.052824
Sess 71/10000 1024 iters: loss 0.062524
Sess 72/10000 1024 iters: loss 0.029889
Sess 73/10000 1024 iters: loss 0.051787
Sess 74/10000 1024 iters: loss 0.044675
Sess 75/10000 1024 iters: loss 0.043583
Sess 76/10000 1024 iters: loss 0.051206
